Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit,UCBMultiArmedBandit,TSMultiArmedBandit,LinUCBBandit
0,0.471264431741356,0.4078229890524437,0.34527976980196573,0.3108958006792588,0.34527976980196573
1,0.8074210371197446,0.7835293472530128,0.7858921226501436,0.691580811301645,0.7361833515479393
2,1.2350753029707215,1.1631710575617882,1.2553961165163328,1.0931822998941934,1.2056873454141286
3,1.7393540364620317,1.5357962105071166,1.6315753424624344,1.4570746764009286,1.58186657136023
4,2.0537258782136343,1.8805024214655397,2.0050925393062053,1.9252056156574835,1.9553837682040007
5,2.427326873582816,2.2007188022591047,2.4211263672736854,2.3036547975034596,2.3714175961714807
6,2.7751386238425275,2.452062736793058,2.752511287688175,2.6887324670019987,2.702802516585971
7,3.1513296486873323,2.7833610464648744,3.162789978060304,3.0429663485250122,3.1130812069580998
8,3.3867814765529864,3.1486985344926337,3.466271149174973,3.4747530153515536,3.370561390561561
9,3.6364924842496165,3.300956254789022,3.786774384950919,3.809083283069583,3.691064626337506
10,4.000784553904426,3.4813016617649972,4.160688769484987,4.199965107912627,4.064979010871575
11,4.154323256872821,3.6256085442915946,4.61386831636105,4.584787236965501,4.518158557747638
12,4.388743448320259,3.9553782152905597,5.0081737450453065,4.97364285724913,4.912463986431894
13,4.5736059215133995,4.196155146123379,5.491076272628138,5.412337958518901,5.395366514014726
14,4.812170433266936,4.294450342044776,5.911568201419188,5.85523731873836,5.78253202997465
15,5.060035608413835,4.444081633483153,6.505381045528964,6.238966177248484,6.376344874084424
16,5.251907698175037,4.696684447490581,6.926889849825336,6.6640653612563145,6.797853678380797
17,5.414259797376312,4.860669623572845,7.279769115295609,7.08124976274078,7.13309586253146
18,5.640731186615136,5.052407709745398,7.671531104819628,7.493150491832997,7.476160708694458
19,5.842581610847054,5.410659973207082,8.084373461290209,7.938087063229261,7.889003065165039
20,5.919204819867831,5.544099723384879,8.501086142547823,8.332758008300354,8.23700887637344
21,6.042975661905308,5.688375108650798,8.836252195683647,8.767083730873917,8.547702050115175
22,6.171075623365864,5.754222927896088,9.291847920228754,9.142709119625584,8.990376210804351
23,6.380975444179328,5.85823511331022,9.760712176541135,9.49486684149075,9.462262327108215
24,6.610369213825765,6.021661254912001,10.117193807699362,9.873175350620329,9.836226689520043
25,6.67258233836355,6.221899963823327,10.156523640609887,9.984438989407005,10.101913215601298
26,6.812204538690949,6.353840229306607,10.220454992710692,10.070522902967213,10.182286824240046
27,6.950326464693478,6.645821008766435,10.396669394866844,10.238595566024145,10.233142215629117
28,7.11625994969066,6.890375884992072,10.644367307977623,10.33195236759098,10.279463159373922
29,7.256104019264197,7.021197365128242,10.839173242820115,10.42056669897424,10.302462424560373
30,7.367904853516573,7.1384525883907255,11.0842410366778,10.511801649233279,10.314570539419513
31,7.472547422334,7.340080315463519,11.370386874457427,10.602524541616413,10.346403902785081
32,7.7138846009016335,7.528372977864282,11.659567853385498,10.666079492697934,10.352276692848992
33,7.907440544559103,7.725873573018913,12.009160825918002,10.821764759710515,10.380967966407216
34,8.038341694995,8.03377054140734,12.323823938258471,10.897251678040144,10.39312468844694
35,8.225903779559557,8.224566516526563,12.696238372657978,10.996964522473977,10.39312468844694
36,8.370829865503246,8.355851485697379,12.965920369597615,11.09546984130757,10.403411069108069
37,8.602210613248378,8.528981610965698,13.285355888824707,11.194848989463065,10.409283859171978
38,8.675236779274169,8.737516078786046,13.577470547058534,11.287770831897099,10.427313371275613
39,8.91434221421644,8.844273030888425,13.965338342820555,11.399532240036926,10.437921757078275
40,9.132798125980756,8.94981330797383,14.288076880921418,11.507255686220848,10.457857990257532
41,9.237647390232588,9.014905341180071,14.52465703632819,11.629421990364257,10.49905868839687
42,9.478788074258727,9.128682440988403,14.9165076329631,11.687883565180371,10.49905868839687
43,9.634825125790398,9.33383955711849,15.350459147498057,11.836512042912108,10.52374037968461
44,9.85189983699003,9.489532433361797,15.695481140826852,11.959735380772695,10.532102883178101
45,9.9341984069933,9.701152032219209,16.083183536440554,12.078426268368482,10.544210998037242
46,10.110988459443504,9.807138105374692,16.44690888033041,12.190356789773194,10.544210998037242
47,10.22268424155851,10.018556473966473,16.744034550185482,12.287628926257028,10.55449737869837
48,10.477489646198677,10.139545763477717,17.127562724955737,12.36621783851809,10.56037016876228
49,10.585011460617213,10.239571710432205,17.511014377196656,12.449152620085346,10.56624295882619
50,10.628607068029028,10.304663743638447,17.795710673707816,12.516684602263677,10.5721157488901
51,10.807760013166314,10.48748013875999,18.1697017948242,12.61701091955392,10.57798853895401
52,10.912855998064867,10.558400802467597,18.439647156371084,12.74023848857831,10.622889441599753
53,10.98960910673097,10.693066013213034,18.639848239516304,12.81282829115904,10.646627666160779
54,11.098462337988234,10.860277715652519,19.021226543515937,12.844708551831094,10.65250045622469
55,11.14840440825996,10.940461272806875,19.32512276876772,12.932819583687987,10.668508610576861
56,11.36077231610277,11.148956976370922,19.678898457987483,13.105672365791396,10.680222474141473
57,11.534318822838902,11.308744184474438,20.037742365375905,13.232221972780888,10.693320573373718
58,11.60527451275388,11.46208634706852,20.232545246331764,13.29345530011572,10.695810286803301
59,11.674378017049575,11.637819937451464,20.679791622887567,13.349270824049032,10.698300000232884
60,11.824869487406392,11.861187665129973,21.06282589471485,13.43095902565732,10.700789713662466
61,11.929101727090769,12.09098951165946,21.289111744339365,13.490534013996548,10.703279427092049
62,12.06904583675686,12.268164426138455,21.578459579766214,13.667685321517393,10.733106169201312
63,12.161238115810395,12.442390412111994,21.9191716960838,13.80076522125224,10.735595882630895
64,12.291894366675413,12.55093284894551,22.244714517640528,13.902295167782693,10.74392666956118
65,12.329433188734985,12.635866030442767,22.602047922287944,14.001652526154805,10.762518317191368
66,12.407211159452192,12.879604891785831,22.966429114067164,14.085068557434349,10.765008030620951
67,12.561162452724597,13.042939809882677,23.12113158400073,14.176413041828448,10.767497744050534
68,12.713757651860275,13.16449974660954,23.382377619973177,14.356897280520627,10.769987457480116
