Time(Iteration),EpsilonGreedyMultiArmedBandit,UCBMultiArmedBandit,TSMultiArmedBandit,PHEMultiArmedBandit,EpsilonGreedyLinearBandit,LinUCBBandit
0,0.438453726644835,0.38205367112130356,0.38879618272476796,0.38205367112130356,0.43722410334465167,0.38205367112130356
1,0.8547218041515167,0.7945089824931074,0.7568282624151752,0.7945089824931074,0.8209526750609725,0.7945089824931074
2,1.187021465189173,1.187282197038643,1.1673421589985715,1.187282197038643,1.1819149393649828,1.187282197038643
3,1.4901176984163882,1.5618545110343158,1.5903393187492123,1.5618545110343158,1.5602940008762323,1.5618545110343158
4,1.8033007855887502,1.9853858005325662,2.0075972556937867,1.9853858005325662,1.914301720540147,1.9853858005325662
5,2.1377021846307085,2.3500594303381797,2.3717159173171014,2.3500594303381797,2.253591672622959,2.3500594303381797
6,2.405405107397051,2.7552802314425042,2.79820140586609,2.7552802314425042,2.5247824183840946,2.7552802314425042
7,2.6738467625741373,3.1615701509687812,3.206334254192573,3.1615701509687812,2.856819473628866,3.1615701509687812
8,3.0138100772244125,3.5175800936281827,3.534079051464744,3.5175800936281827,3.1134361162503597,3.5175800936281827
9,3.320933066278974,3.908999631499692,3.911977762937566,3.908999631499692,3.398021828064328,3.908999631499692
10,3.570787816199723,4.268549706210753,4.35176247117655,4.268549706210753,3.678707295987087,4.268549706210753
11,3.821934583973426,4.639306493673406,4.75904841742126,4.639306493673406,3.9646705660470247,4.639306493673406
12,4.052108744248386,5.052831410967525,5.15609817993285,5.052831410967525,4.224093358034139,5.052831410967525
13,4.307279359339573,5.4545386598701775,5.569940129062913,5.4545386598701775,4.485948893976296,5.4545386598701775
14,4.517292641096052,5.861433416254831,5.9262037085597505,5.861433416254831,4.756748610885536,5.861433416254831
15,4.729500107979932,6.249377473425332,6.33234016374146,6.249377473425332,4.965615909049123,6.249377473425332
16,4.92706325884085,6.689492289903375,6.706979883805015,6.689492289903375,5.242286133978245,6.689492289903375
17,5.12567553336409,7.09229237541414,7.126401936402666,7.09229237541414,5.462775260931021,7.09229237541414
18,5.295404352550238,7.489940026794724,7.5383333390224525,7.489940026794724,5.670961001832519,7.489940026794724
19,5.489315172339308,7.854097003001307,7.902477411246642,7.854097003001307,5.863537576283676,7.854097003001307
20,5.709167232816636,8.263000143964717,8.284627694974478,8.263000143964717,6.062896057309267,8.263000143964717
21,5.881434412161976,8.681597210280085,8.691569914898627,8.681597210280085,6.265040109955538,8.681597210280085
22,6.0542592860640445,9.121304997709114,9.038769589427133,9.121304997709114,6.4586211684594454,9.121304997709114
