Time(Iteration),EpsilonGreedyMultiArmedBandit,UCBMultiArmedBandit,TSMultiArmedBandit
0,0.4168847746680351,0.3707969767700749,0.38534196097019796
1,0.8358156798680477,0.8120540070015639,0.9096949976921527
2,1.2162459496884872,1.2780045582498063,1.265937146116254
3,1.6426235313481221,1.6519452188816728,1.6646245051603565
4,2.148735727136706,2.0231079098112033,2.070152597277316
5,2.3959358962036115,2.520839780102494,2.528601520396413
6,2.7239044409240014,2.925623976465272,2.9427725630647776
7,3.1437136577182505,3.5154133149139604,3.314702323920116
8,3.38198885078871,4.021228823290777,3.8253438268349917
9,3.6573998799163983,4.397125272280179,4.269878231052684
10,3.947040664480099,4.767768577102114,4.685763498396176
11,4.320685353995845,5.148629419061544,5.125288603472013
12,4.6020436969743574,5.603458121262588,5.6262295605759025
13,4.816534359469803,5.988820666584248,6.136320309729482
14,5.140500446343673,6.422666106514535,6.573081426966178
15,5.4255265417994,7.014929685688978,6.985365012514869
16,5.618658913076162,7.4931004851109915,7.496915244568747
17,5.955537047408056,7.928338084082874,7.874385557425666
18,6.127340187230735,8.469153445324,8.360824142785479
19,6.358355986637148,8.930815065063817,8.751846586301903
20,6.593344741726381,9.358893770814305,9.297358879889465
21,6.8298139528848525,9.627715075529382,9.645983063179552
22,7.153146436326587,10.045216852897306,10.137187931017142
23,7.334734592593733,10.488326166581963,10.58867244770948
24,7.456008306720347,10.978401921332521,10.934122974045856
25,7.796461003513359,11.036223889861901,11.308910992086881
26,8.117685775341522,11.173396490012987,11.619347498114923
27,8.314073572381787,11.41218066143544,11.922197435179203
28,8.524666905015442,11.669151385654843,12.288249920295687
29,8.771147390418397,11.943351457055623,12.601526433188322
30,9.013537320474608,12.244974656785818,13.016600239965982
31,9.280528395034649,12.542890240004192,13.287030710987091
32,9.568403372487113,12.919879662991779,13.791841390298359
33,9.844985020150684,13.256307886444109,14.145064638525943
34,10.047358306408885,13.658477974658586,14.58261963890007
35,10.368018378239956,14.066583916618749,14.958671959197122
36,10.538383732907807,14.488709233407977,15.442793674359283
37,10.748469952568323,14.920836756677307,15.795317620028134
38,11.026030455660589,15.41294743584632,16.131490022346
39,11.24610800706793,15.880240590754122,16.61539329674618
40,11.39984411800254,16.404252381921918,17.093291665189497
41,11.620228101481308,16.93794630852582,17.4426530970554
42,11.855136516413975,17.402123806970266,17.858690754887967
43,12.052164137006418,17.954824892950974,18.29760369613279
44,12.324136713235319,18.557297518068502,18.65720989717538
45,12.520749195322566,19.164760510692883,19.043971911716113
46,12.828295887696365,19.769583141196332,19.484574577282963
47,13.042125316052363,20.354397113198143,19.878272731514322
48,13.27404734344393,20.929115073627244,20.2256252943506
49,13.441827461831505,21.454597303534428,20.54922250536267
50,13.597862757912214,21.823234620572382,20.97935630699067
51,13.749007032810619,22.100447330150878,21.34797790561904
52,13.962023301965871,22.339382633730818,21.779423709899184
53,14.200701750495417,22.548304724929856,22.142742428835312
54,14.381599025654959,22.789746353959302,22.48329357035768
55,14.574792411548335,23.043860296578494,22.92972356305915
56,14.720762931886028,23.274496217628666,23.321724610163756
57,14.826893670299103,23.560090694464005,23.735319511214648
58,14.981103943217429,23.93600227018566,24.000088378071446
59,15.097508039673167,24.183009665021054,24.415761806094647
60,15.297752544015427,24.561783286836164,24.742035612140487
61,15.490454114903505,24.969455703451683,25.153699102838615
62,15.62076237420968,25.355144005117783,25.537151781420256
63,15.786391006903552,25.663630556684428,25.91820923723869
64,15.97004651874341,26.112461712790804,26.352964744515596
65,16.1351250334283,26.495101860316293,26.57367314613316
66,16.241591592962333,26.870602510072683,27.03787866985911
67,16.346334929057864,27.33189889927025,27.35882010315417
68,16.54042643301607,27.806784086709627,27.694799294125623
69,16.618412301285602,28.348809628192736,28.013729039305638
70,16.666996889522295,28.767255349073423,28.3003883450671
71,16.7698447069289,29.195261255477725,28.79491951821736
72,16.848854490401173,29.549740649678306,29.160892475014897
73,16.99539592471484,29.989514226613785,29.560296800089976
74,17.161587681531664,30.27770017258282,30.00273494646583
75,17.284049518485396,30.69263341479234,30.242414543799253
76,17.419990560063106,31.12968304250875,30.588907060768
77,17.671144081830732,31.463615358165377,30.889435421166134
78,17.807447562653845,31.848921722444317,31.18162841800828
79,18.041128006869897,32.096466654346344,31.569603679695557
80,18.174216343325952,32.52136960846154,32.02551268102013
81,18.285294127239286,32.89326633603779,32.41751115083976
82,18.388187855696437,33.26317894820965,32.791978201135656
83,18.604432585468373,33.73112323249645,33.20680514752634
84,18.88303227730825,34.153825779606095,33.564406347039004
85,19.065064114570944,34.46428505552505,33.99955328934238
86,19.13858688811353,34.77724122113649,34.30367837129929
87,19.19557970210563,35.12394926954153,34.60267204785931
88,19.36899594146731,35.51492822015675,34.88357026746089
89,19.53949073788501,35.95050968747556,35.35816151739213
90,19.88974963324076,36.31632582212098,35.76626770817746
91,20.020626096399404,36.730841108311964,36.03027372298361
92,20.123519824856555,36.96609330219418,36.44188445998163
93,20.172104413093248,37.29087561386906,36.71430474836
94,20.29299595844956,37.64441713531714,37.10502237657011
95,20.45825265533393,38.04624836690003,37.58889356846812
96,20.60901284206506,38.33173641223205,37.932559449488664
97,20.688545604435184,38.788115103877324,38.17673148229267
98,20.82490849523122,39.28262525727283,38.42382899281822
99,20.903138020697224,39.66714334064008,38.76682961347171
100,21.030819108658893,39.94425857687051,39.12268344921067
